Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::new_allocator(__gnu_cxx::new_allocator<PhilipsWave> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::__normal_iterator(PhilipsWave const* const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::operator++()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::operator*() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::max_size() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<PhilipsWave>::allocator(std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<PhilipsWave> >::deallocate(std::allocator<PhilipsWave>&, PhilipsWave*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<PhilipsWave> >::allocate(std::allocator<PhilipsWave>&, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<PhilipsWave> >::max_size(std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        4     0.00     0.00  PhilipsWave* std::__uninitialized_copy<false>::__uninit_copy<PhilipsWave const*, PhilipsWave*>(PhilipsWave const*, PhilipsWave const*, PhilipsWave*)
  0.00      0.00     0.00        4     0.00     0.00  PhilipsWave* std::uninitialized_copy<PhilipsWave const*, PhilipsWave*>(PhilipsWave const*, PhilipsWave const*, PhilipsWave*)
  0.00      0.00     0.00        4     0.00     0.00  PhilipsWave* std::__uninitialized_copy_a<PhilipsWave const*, PhilipsWave*, PhilipsWave>(PhilipsWave const*, PhilipsWave const*, PhilipsWave*, std::allocator<PhilipsWave>&)
  0.00      0.00     0.00        4     0.00     0.00  PhilipsWave* std::__uninitialized_move_if_noexcept_a<PhilipsWave*, PhilipsWave*, std::allocator<PhilipsWave> >(PhilipsWave*, PhilipsWave*, PhilipsWave*, std::allocator<PhilipsWave>&)
  0.00      0.00     0.00        4     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double> >, std::is_move_constructible<double>, std::is_move_assignable<double> >::value, void>::type std::swap<double>(double&, double&)
  0.00      0.00     0.00        3     0.00     0.00  Dvector::operator==(Dvector const&)
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::operator!=<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&, __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::~_Vector_base()
  0.00      0.00     0.00        3     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::end()
  0.00      0.00     0.00        3     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWave::PhilipsWave(double, Dvector, double)
  0.00      0.00     0.00        2     0.00     0.00  Height::Height(Height const&)
  0.00      0.00     0.00        2     0.00     0.00  Height::operator=(Height&&)
  0.00      0.00     0.00        2     0.00     0.00  Height::operator+=(Height)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<PhilipsWave>::construct<PhilipsWave, PhilipsWave const&>(PhilipsWave*, PhilipsWave const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<PhilipsWave> >::_S_select_on_copy(std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::operator++()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::difference_type __gnu_cxx::operator-<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&, __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&)
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWave::operator()(double, Height&, int, int, double, double) const
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWaveModel::getDir() const
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::operator*() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::end() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::begin() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_Vector_impl::_Vector_impl(std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_Vector_base(unsigned long, std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::random_device::random_device(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00        2     0.00     0.00  std::random_device::~random_device()
  0.00      0.00     0.00        2     0.00     0.00  std::random_device::operator()()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<PhilipsWave> >::select_on_container_copy_construction(std::allocator<PhilipsWave> const&)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<PhilipsWave> >::construct<PhilipsWave, PhilipsWave const&>(std::allocator<PhilipsWave>&, PhilipsWave*, PhilipsWave const&)
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWave* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*>(__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*)
  0.00      0.00     0.00        2     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::vector<PhilipsWave, std::allocator<PhilipsWave> >::_M_realloc_insert<PhilipsWave const&>(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::push_back(PhilipsWave const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::vector(std::vector<PhilipsWave, std::allocator<PhilipsWave> > const&)
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWave* std::uninitialized_copy<__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*>(__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*)
  0.00      0.00     0.00        2     0.00     0.00  PhilipsWave* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*, PhilipsWave>(__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave*, std::allocator<PhilipsWave>&)
  0.00      0.00     0.00        2     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        2     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Dvector> >, std::is_move_constructible<Dvector>, std::is_move_assignable<Dvector> >::value, void>::type std::swap<Dvector>(Dvector&, Dvector&)
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11PhilipsWaveC2Ed7Dvectord
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12GerstnerWaveC2Edd7Dvectord
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN16PhilipsWaveModelC2E7DvectorddddddiiSt6vectorI11PhilipsWaveSaIS2_EE
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17GerstnerWaveModelC2E7DvectorddddddiiSt6vectorI12GerstnerWaveSaIS2_EE
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5OceanC2EddiiR9WaveModel
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6HeightC2Ev
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7DvectorC2Ev
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9WaveModelC2Ev
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWave::getWindDir()
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWave::getWindSpeed()
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWave::getAmpl()
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::PhilipsWaveModel(Dvector, double, double, double, double, double, double, int, int, std::vector<PhilipsWave, std::allocator<PhilipsWave> >)
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::~PhilipsWaveModel()
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::operator()(double)
  0.00      0.00     0.00        1     0.00     0.00  Ocean::getT()
  0.00      0.00     0.00        1     0.00     0.00  Ocean::getLx()
  0.00      0.00     0.00        1     0.00     0.00  Ocean::getLy()
  0.00      0.00     0.00        1     0.00     0.00  Ocean::Ocean(double, double, int, int, WaveModel&)
  0.00      0.00     0.00        1     0.00     0.00  Ocean::~Ocean()
  0.00      0.00     0.00        1     0.00     0.00  Height::fill(double)
  0.00      0.00     0.00        1     0.00     0.00  Height::Height()
  0.00      0.00     0.00        1     0.00     0.00  Dvector::fft2d(int, int)
  0.00      0.00     0.00        1     0.00     0.00  Dvector::ifft2d(int, int)
  0.00      0.00     0.00        1     0.00     0.00  WaveModel::WaveModel(Dvector, double, double, double, double)
  0.00      0.00     0.00        1     0.00     0.00  WaveModel::~WaveModel()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::getLong() const
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::getAjust() const
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::getAlign() const
  0.00      0.00     0.00        1     0.00     0.00  PhilipsWaveModel::getIntens() const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<PhilipsWave>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::vector()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00    1248/1248        unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long) [9]
[8]      0.0    0.00    0.00    1248         std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long) [8]
-----------------------------------------------
                0.00    0.00    1248/1248        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [102]
[9]      0.0    0.00    0.00    1248         unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long) [9]
                0.00    0.00    1248/1248        std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long) [8]
-----------------------------------------------
                0.00    0.00    1246/1246        unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long) [11]
[10]     0.0    0.00    0.00    1246         std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long) [10]
-----------------------------------------------
                0.00    0.00    1246/1246        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [102]
[11]     0.0    0.00    0.00    1246         unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long) [11]
                0.00    0.00    1246/1246        std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long) [10]
-----------------------------------------------
                0.00    0.00       8/232         main [6]
                0.00    0.00      32/232         Dvector::fft2d(int, int) [142]
                0.00    0.00      32/232         Dvector::ifft2d(int, int) [143]
                0.00    0.00     160/232         Dvector::fft() [30]
[12]     0.0    0.00    0.00     232         Dvector::getdata() [12]
-----------------------------------------------
                0.00    0.00       1/76          WaveModel::~WaveModel() [145]
                0.00    0.00       1/76          PhilipsWaveModel::PhilipsWaveModel(Dvector, double, double, double, double, double, double, int, int, std::vector<PhilipsWave, std::allocator<PhilipsWave> >) [132]
                0.00    0.00       1/76          Height::Height() [141]
                0.00    0.00       2/76          std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Dvector> >, std::is_move_constructible<Dvector>, std::is_move_assignable<Dvector> >::value, void>::type std::swap<Dvector>(Dvector&, Dvector&) [110]
                0.00    0.00       2/76          Dvector::fft2d(int, int) [142]
                0.00    0.00       2/76          Dvector::ifft2d(int, int) [143]
                0.00    0.00       4/76          Height::Height(double, double, int, int) [54]
                0.00    0.00       7/76          Height::~Height() [39]
                0.00    0.00       8/76          Height::operator+=(Height) [82]
                0.00    0.00       9/76          PhilipsWave::~PhilipsWave() [32]
                0.00    0.00      11/76          main [6]
                0.00    0.00      28/76          Dvector::fft() [30]
[13]     0.0    0.00    0.00      76         Dvector::~Dvector() [13]
-----------------------------------------------
                0.00    0.00      52/52          Dvector::operator=(Dvector const&) [27]
[14]     0.0    0.00    0.00      52         Dvector::getdata() const [14]
-----------------------------------------------
                0.00    0.00       2/40          Dvector::fft2d(int, int) [142]
                0.00    0.00       2/40          Dvector::ifft2d(int, int) [143]
                0.00    0.00       4/40          main [6]
                0.00    0.00       4/40          Height::Height(double, double, int, int) [54]
                0.00    0.00      28/40          Dvector::fft() [30]
[15]     0.0    0.00    0.00      40         Dvector::Dvector(int, double) [15]
-----------------------------------------------
                0.00    0.00      39/39          std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [22]
[16]     0.0    0.00    0.00      39         std::remove_reference<int&>::type&& std::move<int&>(int&) [16]
-----------------------------------------------
                0.00    0.00       4/29          Height::fill(double) [140]
                0.00    0.00       9/29          main [6]
                0.00    0.00      16/29          Height::operator+=(Height) [82]
[17]     0.0    0.00    0.00      29         Dvector::operator()(int) [17]
-----------------------------------------------
                0.00    0.00      27/27          std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double**> >, std::is_move_constructible<double**>, std::is_move_assignable<double**> >::value, void>::type std::swap<double**>(double**&, double**&) [34]
[18]     0.0    0.00    0.00      27         std::remove_reference<double**&>::type&& std::move<double**&>(double**&) [18]
-----------------------------------------------
                0.00    0.00       1/19          WaveModel::WaveModel(Dvector, double, double, double, double) [144]
                0.00    0.00       1/19          PhilipsWave::getWindDir() [129]
                0.00    0.00       1/19          PhilipsWaveModel::PhilipsWaveModel(Dvector, double, double, double, double, double, double, int, int, std::vector<PhilipsWave, std::allocator<PhilipsWave> >) [132]
                0.00    0.00       2/19          std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Dvector> >, std::is_move_constructible<Dvector>, std::is_move_assignable<Dvector> >::value, void>::type std::swap<Dvector>(Dvector&, Dvector&) [110]
                0.00    0.00       2/19          PhilipsWaveModel::getDir() const [88]
                0.00    0.00       4/19          main [6]
                0.00    0.00       8/19          Height::getDvect() [35]
[19]     0.0    0.00    0.00      19         Dvector::Dvector(Dvector const&) [19]
-----------------------------------------------
                0.00    0.00       2/17          PhilipsWave::PhilipsWave(double, Dvector, double) [79]
                0.00    0.00       2/17          Height::Height() [141]
                0.00    0.00       2/17          Height::Height(Height const&) [80]
                0.00    0.00       4/17          Height::Height(double, double, int, int) [54]
                0.00    0.00       7/17          PhilipsWave::PhilipsWave(PhilipsWave const&) [38]
[20]     0.0    0.00    0.00      17         Dvector::Dvector() [20]
-----------------------------------------------
                0.00    0.00       4/14          void std::vector<PhilipsWave, std::allocator<PhilipsWave> >::_M_realloc_insert<PhilipsWave const&>(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >, PhilipsWave const&) [104]
                0.00    0.00       4/14          __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::difference_type __gnu_cxx::operator-<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&, __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&) [86]
                0.00    0.00       6/14          bool __gnu_cxx::operator!=<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >(__gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&, __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&) [73]
